,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
13,reputation,4,10078,36239904,14904,2,10334,472495,20,25765
14,reputation,1,10078,33599405,14904,0,10334,472495,13,25765
21,reputation,0,3,37377764,12018,0,3831,1502079,14,1483
22,reputation,0,3,37631286,12018,0,3831,1502079,18,1483
23,reputation,0,39,37396772,6776,0,712,1072846,19,411
28,reputation,0,0,32756746,5686,0,510,233602,10,492
87,reputation,0,30,30904204,11730,0,1017,373962,13,920
92,reputation,0,50,36448739,24856,2,1539,90998,18,3104
171,reputation,0,226,32904234,13447,0,1270,777733,10,795
172,reputation,0,226,36594706,13447,0,1270,777733,19,795
173,reputation,9,226,37746267,13447,0,1270,777733,20,795
188,reputation,0,15,36080273,6638,1,826,636348,17,613
211,reputation,0,10,8236516,10723,0,29,177511,20,746
219,reputation,0,47,31539633,12329,0,333,1081340,18,1286
262,reputation,0,128,37117857,6449,0,4840,232794,19,579
263,reputation,0,128,20968916,6449,1,4840,232794,15,579
266,reputation,0,85,37436099,6437,0,866,1072492,18,824
267,reputation,5,391,31609540,6880,0,1324,64505,18,823
268,reputation,1,391,32248038,6880,1,1324,64505,20,823
269,reputation,0,391,37755781,6880,1,1324,64505,13,823
270,reputation,0,391,35985110,6880,0,1324,64505,16,823
271,reputation,0,391,31791237,6880,0,1324,64505,14,823
272,reputation,1,391,30897947,6880,0,1324,64505,14,823
378,reputation,0,542,33916406,21766,0,1793,138601,10,1593
379,reputation,1,542,31986551,21766,0,1793,138601,6,1593
380,reputation,4,542,11701164,21766,1,1793,138601,14,1593
381,reputation,3,542,33780531,21766,0,1793,138601,16,1593
424,reputation,3,49,37413576,6421,0,485,514438,18,885
425,reputation,0,49,23957655,6421,0,485,514438,17,885
451,reputation,0,2,31569298,5374,0,239,1771017,15,110
455,reputation,6,28,36629639,5549,0,58,1967601,18,120
472,reputation,0,48,32712577,29437,0,671,26414,19,3020
495,reputation,0,117,27007177,41861,0,1090,665261,10,3130
533,reputation,0,11,33697660,17096,0,173,4196,15,732
534,reputation,0,15,36942687,5639,1,876,848330,17,410
572,reputation,1,58,35537187,5902,0,1700,526495,17,504
578,reputation,0,82,35622289,20807,0,4920,1205871,14,2144
591,reputation,0,18,33520448,11770,0,697,920568,20,1657
592,reputation,0,18,31388860,11770,0,697,920568,19,1657
610,reputation,1,208,37441213,13631,-1,802,153865,11,2634
611,reputation,0,208,32077587,13631,0,802,153865,17,2634
612,reputation,0,208,37617764,13631,0,802,153865,10,2634
613,reputation,0,208,32570575,13631,0,802,153865,9,2634
614,reputation,0,208,37252356,13631,1,802,153865,18,2634
659,reputation,2,855,37137191,44166,0,2303,6241235,15,3943
660,reputation,1,855,36896267,44166,0,2303,6241235,17,3943
670,reputation,0,31,37347077,19910,0,234,477415,19,1790
671,reputation,0,31,37300056,19910,0,234,477415,17,1790
790,reputation,4,35,28081841,5606,0,291,409617,20,521
791,reputation,0,35,37631636,5606,0,291,409617,11,521
806,reputation,0,196,37258782,10210,0,139,1573861,17,919
835,reputation,0,399,37031505,5195,0,1560,1636276,13,629
836,reputation,0,399,32392834,5195,1,1560,1636276,17,629
841,reputation,2,31,37749161,17473,1,709,150342,18,922
842,reputation,0,31,36739573,17473,0,709,150342,15,922
871,reputation,0,1,36722974,20711,0,81,200609,17,916
903,reputation,2,1483,24547017,10736,0,2293,1814486,20,2149
921,reputation,0,273,37266602,76835,0,2898,5133585,12,4531
922,reputation,0,273,37114988,76835,0,2898,5133585,16,4531
923,reputation,0,273,37769743,76835,0,2898,5133585,3,4531
924,reputation,0,273,37358523,76835,1,2898,5133585,20,4531
925,reputation,1,273,35827330,76835,1,2898,5133585,16,4531
926,reputation,0,273,36967604,76835,1,2898,5133585,20,4531
927,reputation,0,273,35251997,76835,0,2898,5133585,18,4531
928,reputation,0,273,37083918,76835,1,2898,5133585,13,4531
929,reputation,0,273,33181901,76835,0,2898,5133585,16,4531
999,reputation,1,7,37621872,5196,0,2699,3216297,19,514
1000,reputation,0,7,37279917,5196,0,2699,3216297,12,514
1001,reputation,2,7,34954150,5196,1,2699,3216297,11,514
1002,reputation,4,7,31327429,5196,0,2699,3216297,17,514
1003,reputation,1,7,35211339,5196,0,2699,3216297,19,514
1004,reputation,3,7,25087725,5196,0,2699,3216297,20,514
1013,reputation,0,21,31593206,12643,0,696,180416,19,607
1024,reputation,0,277,37261378,13736,1,1961,3536236,18,2198
1025,reputation,0,277,35875750,13736,0,1961,3536236,17,2198
1026,reputation,5,277,35486603,13736,1,1961,3536236,13,2198
1027,reputation,3,3,37499461,7953,0,214,775359,18,2283
1028,reputation,1,18,34121531,8173,0,59,1320129,18,1296
1029,reputation,0,18,37298722,8173,0,59,1320129,17,1296
1030,reputation,2,18,36668213,8173,0,59,1320129,19,1296
1031,reputation,0,18,34696194,8173,1,59,1320129,17,1296
1032,reputation,4,18,23539106,8173,0,59,1320129,18,1296
1033,reputation,0,18,37316193,8173,0,59,1320129,17,1296
1034,reputation,0,18,33296677,8173,0,59,1320129,19,1296
1035,reputation,2,18,29328060,8173,0,59,1320129,19,1296
1167,reputation,0,8,37678014,24004,0,1470,407757,13,1093
1185,reputation,2,15,31575754,5947,0,1399,314963,20,682
1186,reputation,0,15,31766945,5947,0,1399,314963,20,682
1187,reputation,1,15,35034657,5947,1,1399,314963,20,682
1188,reputation,0,15,37439491,5947,0,1399,314963,18,682
1214,reputation,10,80,33203660,7286,0,306,3042759,14,540
1215,reputation,0,80,32971852,7286,-1,306,3042759,19,540
1247,reputation,3,697,37589992,43870,1,1000,717214,11,3529
1293,reputation,0,6,34606603,5342,0,740,395974,20,858
1295,reputation,1,190,31490566,6007,0,305,1994081,19,736
1332,reputation,2,90,35452455,22374,0,862,138557,13,2327
1333,reputation,0,90,37390009,22374,0,862,138557,17,2327
1334,reputation,3,90,31924965,22374,1,862,138557,18,2327
1368,reputation,0,19,35020807,7901,0,462,427292,19,926
1407,reputation,1,30,32247565,18700,0,3498,774183,18,1414
1408,reputation,1,30,32513370,18700,0,3498,774183,15,1414
1409,reputation,4,30,32968098,18700,0,3498,774183,18,1414
1410,reputation,0,30,37642843,18700,0,3498,774183,19,1414
1439,reputation,2,38,30823549,10273,0,611,997112,18,1477
1440,reputation,0,38,37229320,10273,0,611,997112,14,1477
1441,reputation,1,38,33766510,10273,0,611,997112,18,1477
1442,reputation,0,38,33599188,10273,0,611,997112,16,1477
1443,reputation,6,38,37579834,10273,0,611,997112,15,1477
1444,reputation,0,38,31214704,10273,0,611,997112,16,1477
1445,reputation,0,38,23717224,10273,1,611,997112,18,1477
1447,reputation,0,109,26266164,8055,0,294,1519458,14,564
1448,reputation,0,109,35725923,8055,0,294,1519458,10,564
1449,reputation,3,109,37677823,8055,0,294,1519458,12,564
1450,reputation,0,109,34050513,8055,0,294,1519458,18,564
1451,reputation,5,109,37181994,8055,-2,294,1519458,19,564
1452,reputation,0,109,36649994,8055,0,294,1519458,8,564
1453,reputation,0,109,37674889,8055,0,294,1519458,15,564
13,views,4,10078,36239904,14904,2,10334,472495,20,25765
14,views,1,10078,33599405,14904,0,10334,472495,13,25765
21,views,0,3,37377764,12018,0,3831,1502079,14,1483
22,views,0,3,37631286,12018,0,3831,1502079,18,1483
87,views,0,30,30904204,11730,0,1017,373962,13,920
92,views,0,50,36448739,24856,2,1539,90998,18,3104
94,views,1,20,35337489,1506,0,1121,1255427,17,27995
95,views,2,20,36966678,1506,0,1121,1255427,12,27995
96,views,0,25,36869970,4008,1,1889,1037617,19,1796
97,views,0,25,36911594,4008,0,1889,1037617,16,1796
98,views,2,25,31983790,4008,0,1889,1037617,18,1796
99,views,0,25,31158007,4008,0,1889,1037617,19,1796
100,views,0,25,36772256,4008,0,1889,1037617,16,1796
162,views,0,0,31035252,484,0,436,1941253,8,1080
219,views,0,47,31539633,12329,0,333,1081340,18,1286
280,views,0,0,33292959,1639,0,301,4517234,9,1106
378,views,0,542,33916406,21766,0,1793,138601,10,1593
379,views,1,542,31986551,21766,0,1793,138601,6,1593
380,views,4,542,11701164,21766,1,1793,138601,14,1593
381,views,3,542,33780531,21766,0,1793,138601,16,1593
417,views,1,227,26495733,4997,0,837,1090438,16,873
418,views,0,227,37549037,4997,1,837,1090438,19,873
424,views,3,49,37413576,6421,0,485,514438,18,885
425,views,0,49,23957655,6421,0,485,514438,17,885
472,views,0,48,32712577,29437,0,671,26414,19,3020
495,views,0,117,27007177,41861,0,1090,665261,10,3130
501,views,0,31,28769205,2741,-2,5141,604687,16,1176
507,views,0,543,36342868,4631,0,575,3160466,19,7805
578,views,0,82,35622289,20807,0,4920,1205871,14,2144
591,views,0,18,33520448,11770,0,697,920568,20,1657
592,views,0,18,31388860,11770,0,697,920568,19,1657
610,views,1,208,37441213,13631,-1,802,153865,11,2634
611,views,0,208,32077587,13631,0,802,153865,17,2634
612,views,0,208,37617764,13631,0,802,153865,10,2634
613,views,0,208,32570575,13631,0,802,153865,9,2634
614,views,0,208,37252356,13631,1,802,153865,18,2634
653,views,4,4010,37591016,4642,0,300,3270037,15,1516
654,views,2,4010,37311632,4642,0,300,3270037,19,1516
659,views,2,855,37137191,44166,0,2303,6241235,15,3943
660,views,1,855,36896267,44166,0,2303,6241235,17,3943
670,views,0,31,37347077,19910,0,234,477415,19,1790
671,views,0,31,37300056,19910,0,234,477415,17,1790
806,views,0,196,37258782,10210,0,139,1573861,17,919
839,views,0,18,32349734,2320,0,36,1523914,20,974
841,views,2,31,37749161,17473,1,709,150342,18,922
842,views,0,31,36739573,17473,0,709,150342,15,922
862,views,0,657,33918684,1678,0,432,836018,14,1410
865,views,5,69,37754590,3940,0,1001,913903,14,2455
871,views,0,1,36722974,20711,0,81,200609,17,916
903,views,2,1483,24547017,10736,0,2293,1814486,20,2149
921,views,0,273,37266602,76835,0,2898,5133585,12,4531
922,views,0,273,37114988,76835,0,2898,5133585,16,4531
923,views,0,273,37769743,76835,0,2898,5133585,3,4531
924,views,0,273,37358523,76835,1,2898,5133585,20,4531
925,views,1,273,35827330,76835,1,2898,5133585,16,4531
926,views,0,273,36967604,76835,1,2898,5133585,20,4531
927,views,0,273,35251997,76835,0,2898,5133585,18,4531
928,views,0,273,37083918,76835,1,2898,5133585,13,4531
929,views,0,273,33181901,76835,0,2898,5133585,16,4531
1024,views,0,277,37261378,13736,1,1961,3536236,18,2198
1025,views,0,277,35875750,13736,0,1961,3536236,17,2198
1026,views,5,277,35486603,13736,1,1961,3536236,13,2198
1027,views,3,3,37499461,7953,0,214,775359,18,2283
1028,views,1,18,34121531,8173,0,59,1320129,18,1296
1029,views,0,18,37298722,8173,0,59,1320129,17,1296
1030,views,2,18,36668213,8173,0,59,1320129,19,1296
1031,views,0,18,34696194,8173,1,59,1320129,17,1296
1032,views,4,18,23539106,8173,0,59,1320129,18,1296
1033,views,0,18,37316193,8173,0,59,1320129,17,1296
1034,views,0,18,33296677,8173,0,59,1320129,19,1296
1035,views,2,18,29328060,8173,0,59,1320129,19,1296
1129,views,0,29,37414935,2859,0,498,846281,11,904
1130,views,6,29,37366234,2859,-1,498,846281,13,904
1131,views,0,29,27168606,2859,0,498,846281,20,904
1132,views,0,29,33442506,2859,0,498,846281,20,904
1133,views,4,29,36553552,2859,0,498,846281,17,904
1134,views,2,29,28929913,2859,1,498,846281,19,904
1135,views,6,29,37274543,2859,0,498,846281,18,904
1136,views,4,29,34693282,2859,0,498,846281,20,904
1137,views,0,29,37097752,2859,0,498,846281,17,904
1138,views,0,29,31203994,2859,0,498,846281,11,904
1139,views,0,29,37440459,2859,0,498,846281,5,904
1140,views,0,29,27346912,2859,0,498,846281,15,904
1141,views,0,29,31021463,2859,0,498,846281,20,904
1142,views,0,29,34634871,2859,0,498,846281,10,904
1143,views,0,29,34198834,2859,1,498,846281,19,904
1144,views,0,29,31897833,2859,0,498,846281,19,904
1145,views,3,29,37435019,2859,0,498,846281,20,904
1146,views,6,29,24715013,2859,0,498,846281,19,904
1147,views,0,29,37372145,2859,0,498,846281,15,904
1148,views,4,29,24732401,2859,0,498,846281,17,904
1149,views,0,29,34402710,2859,1,498,846281,18,904
1167,views,0,8,37678014,24004,0,1470,407757,13,1093
1174,views,1,4,36355990,1836,0,247,955237,16,1596
1195,views,0,18,36041124,2647,0,1482,1033684,9,952
1196,views,0,18,36644725,2647,0,1482,1033684,19,952
1197,views,3,18,35964032,2647,0,1482,1033684,13,952
1198,views,0,18,37164742,2647,0,1482,1033684,8,952
1199,views,0,18,32352471,2647,1,1482,1033684,14,952
1200,views,0,18,36621286,2647,0,1482,1033684,11,952
1201,views,2,18,15751131,2647,0,1482,1033684,17,952
1202,views,3,18,37645004,2647,1,1482,1033684,19,952
1247,views,3,697,37589992,43870,1,1000,717214,11,3529
1332,views,2,90,35452455,22374,0,862,138557,13,2327
1333,views,0,90,37390009,22374,0,862,138557,17,2327
1334,views,3,90,31924965,22374,1,862,138557,18,2327
1368,views,0,19,35020807,7901,0,462,427292,19,926
1374,views,3,62,33274895,2216,0,451,1668069,16,1426
1375,views,1,62,34649959,2216,0,451,1668069,15,1426
1376,views,1,62,36544530,2216,0,451,1668069,17,1426
1377,views,3,62,33955274,2216,0,451,1668069,16,1426
1378,views,0,62,37748222,2216,0,451,1668069,11,1426
1379,views,0,62,35310502,2216,0,451,1668069,7,1426
1380,views,0,62,34878976,2216,0,451,1668069,13,1426
1381,views,2,62,21912547,2216,0,451,1668069,18,1426
1382,views,0,62,35911670,2216,0,451,1668069,17,1426
1383,views,1,62,37438348,2216,0,451,1668069,13,1426
1384,views,6,62,24572919,2216,0,451,1668069,16,1426
1385,views,1,62,34292302,2216,0,451,1668069,16,1426
1386,views,1,62,32888629,2216,1,451,1668069,14,1426
1387,views,0,62,37070013,2216,1,451,1668069,20,1426
1388,views,2,62,34061639,2216,1,451,1668069,16,1426
1389,views,0,62,36329740,2216,0,451,1668069,15,1426
1407,views,1,30,32247565,18700,0,3498,774183,18,1414
1408,views,1,30,32513370,18700,0,3498,774183,15,1414
1409,views,4,30,32968098,18700,0,3498,774183,18,1414
1410,views,0,30,37642843,18700,0,3498,774183,19,1414
1430,views,3,136,33303051,3938,0,982,3711219,20,992
1431,views,1,136,34631295,3938,1,982,3711219,18,992
1432,views,0,136,30984506,3938,0,982,3711219,19,992
1433,views,4,136,35386912,3938,0,982,3711219,20,992
1434,views,0,136,32647446,3938,0,982,3711219,17,992
1435,views,0,136,27063715,3938,1,982,3711219,13,992
1436,views,0,136,24315784,3938,0,982,3711219,18,992
1439,views,2,38,30823549,10273,0,611,997112,18,1477
1440,views,0,38,37229320,10273,0,611,997112,14,1477
1441,views,1,38,33766510,10273,0,611,997112,18,1477
1442,views,0,38,33599188,10273,0,611,997112,16,1477
1443,views,6,38,37579834,10273,0,611,997112,15,1477
1444,views,0,38,31214704,10273,0,611,997112,16,1477
1445,views,0,38,23717224,10273,1,611,997112,18,1477
0,up_votes,0,0,34906253,2549,0,752,945029,14,63
13,up_votes,4,10078,36239904,14904,2,10334,472495,20,25765
14,up_votes,1,10078,33599405,14904,0,10334,472495,13,25765
21,up_votes,0,3,37377764,12018,0,3831,1502079,14,1483
22,up_votes,0,3,37631286,12018,0,3831,1502079,18,1483
23,up_votes,0,39,37396772,6776,0,712,1072846,19,411
49,up_votes,1,23,33809337,2424,0,1421,2108812,19,254
83,up_votes,0,9,34387597,3228,0,1895,111804,20,542
87,up_votes,0,30,30904204,11730,0,1017,373962,13,920
92,up_votes,0,50,36448739,24856,2,1539,90998,18,3104
94,up_votes,1,20,35337489,1506,0,1121,1255427,17,27995
95,up_votes,2,20,36966678,1506,0,1121,1255427,12,27995
96,up_votes,0,25,36869970,4008,1,1889,1037617,19,1796
97,up_votes,0,25,36911594,4008,0,1889,1037617,16,1796
98,up_votes,2,25,31983790,4008,0,1889,1037617,18,1796
99,up_votes,0,25,31158007,4008,0,1889,1037617,19,1796
100,up_votes,0,25,36772256,4008,0,1889,1037617,16,1796
101,up_votes,0,13,36548676,784,0,657,3809977,13,203
102,up_votes,0,13,37525558,784,0,657,3809977,13,203
103,up_votes,0,13,34426619,784,0,657,3809977,5,203
106,up_votes,4,27,29479355,3276,-1,1376,4601149,20,686
107,up_votes,0,27,37645825,3276,0,1376,4601149,12,686
163,up_votes,0,366,37369064,2974,0,1273,3763848,14,204
171,up_votes,0,226,32904234,13447,0,1270,777733,10,795
172,up_votes,0,226,36594706,13447,0,1270,777733,19,795
173,up_votes,9,226,37746267,13447,0,1270,777733,20,795
178,up_votes,2,7,27455295,4127,0,1026,61207,18,719
188,up_votes,0,15,36080273,6638,1,826,636348,17,613
201,up_votes,0,4,32144445,802,0,1008,5058116,13,189
207,up_votes,1,28,37076627,1806,-1,1313,936420,20,306
208,up_votes,0,16,37139548,4310,0,691,279204,14,639
262,up_votes,0,128,37117857,6449,0,4840,232794,19,579
263,up_votes,0,128,20968916,6449,1,4840,232794,15,579
266,up_votes,0,85,37436099,6437,0,866,1072492,18,824
267,up_votes,5,391,31609540,6880,0,1324,64505,18,823
268,up_votes,1,391,32248038,6880,1,1324,64505,20,823
269,up_votes,0,391,37755781,6880,1,1324,64505,13,823
270,up_votes,0,391,35985110,6880,0,1324,64505,16,823
271,up_votes,0,391,31791237,6880,0,1324,64505,14,823
272,up_votes,1,391,30897947,6880,0,1324,64505,14,823
275,up_votes,0,379,36172778,2595,0,796,3286569,11,311
289,up_votes,0,6,35319307,2567,0,1179,408159,17,279
364,up_votes,0,40,35638755,2063,0,679,888990,16,681
378,up_votes,0,542,33916406,21766,0,1793,138601,10,1593
379,up_votes,1,542,31986551,21766,0,1793,138601,6,1593
380,up_votes,4,542,11701164,21766,1,1793,138601,14,1593
381,up_votes,3,542,33780531,21766,0,1793,138601,16,1593
417,up_votes,1,227,26495733,4997,0,837,1090438,16,873
418,up_votes,0,227,37549037,4997,1,837,1090438,19,873
423,up_votes,0,19,36530713,1143,0,842,3605712,17,327
472,up_votes,0,48,32712577,29437,0,671,26414,19,3020
495,up_votes,0,117,27007177,41861,0,1090,665261,10,3130
501,up_votes,0,31,28769205,2741,-2,5141,604687,16,1176
520,up_votes,0,50,30806097,2329,0,1642,182551,20,481
534,up_votes,0,15,36942687,5639,1,876,848330,17,410
537,up_votes,0,37,35536180,971,0,1432,824644,17,212
538,up_votes,0,37,36425440,971,0,1432,824644,15,212
539,up_votes,0,37,36646388,971,1,1432,824644,12,212
566,up_votes,3,32,37415089,4653,0,2038,4055042,18,540
572,up_votes,1,58,35537187,5902,0,1700,526495,17,504
574,up_votes,0,3,37758118,1527,0,1357,4245294,18,273
578,up_votes,0,82,35622289,20807,0,4920,1205871,14,2144
591,up_votes,0,18,33520448,11770,0,697,920568,20,1657
592,up_votes,0,18,31388860,11770,0,697,920568,19,1657
610,up_votes,1,208,37441213,13631,-1,802,153865,11,2634
611,up_votes,0,208,32077587,13631,0,802,153865,17,2634
612,up_votes,0,208,37617764,13631,0,802,153865,10,2634
613,up_votes,0,208,32570575,13631,0,802,153865,9,2634
614,up_votes,0,208,37252356,13631,1,802,153865,18,2634
645,up_votes,3,15,37609938,4136,0,1506,415600,18,432
646,up_votes,0,15,37613176,4136,0,1506,415600,11,432
647,up_votes,0,15,36911080,4136,0,1506,415600,19,432
659,up_votes,2,855,37137191,44166,0,2303,6241235,15,3943
660,up_votes,1,855,36896267,44166,0,2303,6241235,17,3943
674,up_votes,0,6,36774792,3336,0,939,786103,20,368
675,up_votes,0,6,35746659,3336,1,939,786103,17,368
743,up_votes,0,0,33887333,1748,0,998,3714181,15,109
744,up_votes,0,0,37156710,1748,0,998,3714181,10,109
747,up_votes,0,13,22556820,715,0,996,2265151,14,441
780,up_votes,0,2,33734524,2503,1,3826,5110870,18,547
781,up_votes,4,2,36456818,2503,0,3826,5110870,18,547
782,up_votes,1,2,33737027,2503,0,3826,5110870,14,547
783,up_votes,1,2,37193340,2503,0,3826,5110870,18,547
784,up_votes,1,2,36330642,2503,0,3826,5110870,20,547
785,up_votes,0,2,33953882,2503,1,3826,5110870,19,547
787,up_votes,0,140,26046366,3327,0,1098,1249829,15,368
788,up_votes,0,140,31380694,3327,1,1098,1249829,16,368
803,up_votes,0,0,37179981,84,0,687,4400677,10,105
807,up_votes,2,25,31124086,2438,0,843,337306,17,610
808,up_votes,0,25,37296222,2438,0,843,337306,17,610
809,up_votes,6,25,36285802,2438,0,843,337306,7,610
810,up_votes,0,25,29546796,2438,-1,843,337306,17,610
811,up_votes,0,25,31923334,2438,1,843,337306,17,610
812,up_votes,0,2,30465865,3511,0,1302,706346,19,507
813,up_votes,0,2,34534405,3511,0,1302,706346,20,507
822,up_votes,0,20,37751009,2960,0,1694,3498910,7,327
823,up_votes,1,20,37596503,2960,0,1694,3498910,15,327
824,up_votes,0,20,37610856,2960,0,1694,3498910,19,327
825,up_votes,3,20,37566792,2960,1,1694,3498910,18,327
835,up_votes,0,399,37031505,5195,0,1560,1636276,13,629
836,up_votes,0,399,32392834,5195,1,1560,1636276,17,629
841,up_votes,2,31,37749161,17473,1,709,150342,18,922
842,up_votes,0,31,36739573,17473,0,709,150342,15,922
865,up_votes,5,69,37754590,3940,0,1001,913903,14,2455
866,up_votes,0,29,36953526,2886,0,1330,608312,9,349
903,up_votes,2,1483,24547017,10736,0,2293,1814486,20,2149
914,up_votes,3,77,36307592,4079,0,2408,792888,14,654
915,up_votes,0,77,29119310,4079,0,2408,792888,18,654
916,up_votes,0,77,37208687,4079,1,2408,792888,19,654
917,up_votes,0,77,27065516,4079,0,2408,792888,18,654
918,up_votes,3,77,24596261,4079,0,2408,792888,20,654
921,up_votes,0,273,37266602,76835,0,2898,5133585,12,4531
